p_in,Re,Geometry
2.504637,1797.57,narrowEndBendRe
12.26288,1139.67,channelStripRe
24.48533,1544.53,channelStripRe
9.519995,178.13,leftStripBendRe
5.383904,228.73,rightStripBendRe
0.4364516,987.85,backwardStepRe
7.446681,1063.76,rightStripBendRe
2.453027,1822.87,narrowEndBendRe
0.2552247,1873.48,channelRe
8.158729,709.51,leftStripBendRe
1.055958,1266.19,bendRe
18.99831,2000.00,channelStripRe
2.287859,481.77,forwardStepRe
126.1332,1.00,channelRe
1.838866,1164.97,forwardStepRe
1.711735,1721.66,forwardStepRe
33.93198,1924.09,channelStripRe
0.6279399,633.59,backwardStepRe
0.263074,1772.27,channelRe
0.9902733,178.13,bendRe
1.899348,987.85,forwardStepRe
6.023531,1822.87,leftStripBendRe
0.278638,1595.14,channelRe
4.644509,355.25,rightStripBendRe
0.261046,1797.57,channelRe
1.040542,178.13,channelRe
5.216896,1266.19,rightStripBendRe
0.5195613,532.38,channelRe
43.10634,1721.66,channelStripRe
1.772336,1418.01,forwardStepRe
11.20036,684.20,leftStripBendRe
0.246793,1974.70,backwardStepRe
11.94635,557.68,channelStripRe
0.4391274,709.51,channelRe
5.4895,178.13,rightStripBendRe
6.191272,861.33,rightStripBendRe
0.6595127,1848.18,bendRe
0.4873275,861.33,backwardStepRe
0.3129943,1291.49,channelRe
3.807764,1949.39,rightStripBendRe
0.2672606,1721.66,channelRe
12.40337,1519.23,channelStripRe
3.665861,785.42,rightStripBendRe
4.891548,279.34,rightStripBendRe
2.778241,481.77,narrowEndBendRe
0.3864783,886.63,channelRe
29.49803,1949.39,channelStripRe
1.756109,1671.05,forwardStepRe
2.483116,1139.67,narrowEndBendRe
1.049659,507.08,bendRe
12.22476,1013.15,channelStripRe
0.9502368,203.43,channelRe
1.027826,760.11,bendRe
0.3474771,1316.80,backwardStepRe
2.204346,152.82,backwardStepRe
2.464018,1645.75,narrowEndBendRe
0.9849137,557.68,bendRe
0.9761819,304.65,bendRe
12.07359,26.30,backwardStepRe
0.6677479,1569.84,bendRe
0.3828112,1164.97,backwardStepRe
0.4584049,658.90,channelRe
1.041545,1291.49,bendRe
0.2844009,1696.35,backwardStepRe
12.16347,886.63,channelStripRe
4.138205,2000.00,bendRe
1.170637,1595.14,bendRe
88.85032,1595.14,channelStripRe
0.6498671,608.29,backwardStepRe
5.704126,481.77,rightStripBendRe
2.759702,279.34,forwardStepRe
11.75132,380.56,channelStripRe
143.7717,1.00,rightStripBendRe
11.80745,431.16,channelStripRe
1.313484,1215.58,bendRe
3.594433,1316.80,rightStripBendRe
11.56299,279.34,channelStripRe
0.4067068,810.72,channelRe
11.77399,405.86,channelStripRe
5.630831,1620.44,leftStripBendRe
0.3763559,1190.28,backwardStepRe
1.1018,329.95,backwardStepRe
4.603621,329.95,rightStripBendRe
0.2810831,1569.84,channelRe
1.418017,1519.23,bendRe
0.4114379,1063.76,backwardStepRe
0.396526,1114.37,backwardStepRe
8.048754,1240.89,leftStripBendRe
1.845231,1139.67,forwardStepRe
5.269017,1139.67,rightStripBendRe
0.8630006,1949.39,bendRe
1.889353,1013.15,forwardStepRe
0.6949284,329.95,channelRe
2.519665,1266.19,narrowEndBendRe
0.264694,1898.78,backwardStepRe
23.41709,1873.48,channelStripRe
0.4141626,785.42,channelRe
3.330736,178.13,forwardStepRe
1.066527,608.29,bendRe
2.667715,633.59,narrowEndBendRe
1.105692,481.77,bendRe
0.2866771,1671.05,backwardStepRe
12.25854,1114.37,channelStripRe
2.863623,254.04,forwardStepRe
7.637046,557.68,leftStripBendRe
0.9266663,1316.80,bendRe
12.5551,1291.49,channelStripRe
2.474563,1215.58,narrowEndBendRe
2.545974,911.94,narrowEndBendRe
2.113852,633.59,forwardStepRe
4.590663,684.20,rightStripBendRe
2.190475,557.68,forwardStepRe
0.5396914,760.11,backwardStepRe
12.07823,734.81,channelStripRe
10.5023,937.24,leftStripBendRe
1.985543,810.72,forwardStepRe
1.970668,76.91,channelRe
3.580429,152.82,forwardStepRe
0.3534801,1038.46,channelRe
4.302356,1898.78,rightStripBendRe
0.8787806,228.73,channelRe
0.3745059,937.24,channelRe
33230760000.0,1645.75,leftStripBendRe
4.847636,633.59,rightStripBendRe
2.427303,1873.48,narrowEndBendRe
0.7674125,1240.89,bendRe
0.8349939,861.33,bendRe
0.8205406,254.04,channelRe
0.2733988,1772.27,backwardStepRe
1.809082,1316.80,forwardStepRe
6.76139,532.38,leftStripBendRe
398.8188,1721.66,bendRe
2.671203,304.65,forwardStepRe
8.182506,1721.66,rightStripBendRe
1.276153,1544.53,bendRe
2.16299,582.99,forwardStepRe
1.273205,734.81,bendRe
9.614454,1063.76,leftStripBendRe
0.6637321,355.25,channelRe
1.276395,279.34,backwardStepRe
0.7250502,1342.10,bendRe
1.957698,861.33,forwardStepRe
2.627101,709.51,narrowEndBendRe
0.9388219,1797.57,bendRe
0.3895272,1139.67,backwardStepRe
